"","rules","support","confidence","coverage","lift","count"
"2","{ENG_PACK_TIER_NEW=2} => {cs_kor_ala=ADD_KOREAN}",0.0596827239311279,0.23776493256262,0.251015670342426,1.50061896998313,617
"18","{MOV_NEW=1,SPT_NEW=1} => {cs_kor_ala=ADD_KOREAN}",0.0521377442445347,0.209727626459144,0.248597407622364,1.32366556919086,539
"6","{MOV_NEW=1} => {cs_kor_ala=ADD_KOREAN}",0.0884116850454633,0.209201190203708,0.422615592958019,1.32034304293403,914
"3","{EDU_PACK_TIER_NEW=1} => {cs_kor_ala=ADD_KOREAN}",0.0601663764751403,0.199231262011531,0.301992648481331,1.2574192836845,622
"19","{L3M_AG_AVG_DAYS=0,SPT_NEW=1} => {cs_kor_ala=ADD_KOREAN}",0.0538788934029793,0.19647266313933,0.27423099245502,1.24000878604053,557
"4","{SPT_NEW=1} => {cs_kor_ala=ADD_KOREAN}",0.0791255562004256,0.195040534096328,0.405687753917586,1.23097011079844,818
"1","{} => {cs_kor_ala=ADD_KOREAN}",0.158444573418456,0.158444573418456,1,1,1638
