"","rules","support","confidence","coverage","lift","count"
"2","{MOV_NEW=1} => {cs_kor_ala=ADD_KOREAN}",0.0100967383834646,0.0306187880731004,0.329756303853677,2.06126553017381,191
"1","{} => {cs_kor_ala=ADD_KOREAN}",0.0148543637997568,0.0148543637997568,1,1,281
