"","rules","support","confidence","coverage","lift","count"
"3","{MOV_NEW=1} => {cs_kor_ala=ADD_KOREAN}",0.0634288747346072,0.120951417004049,0.524416135881104,1.35235887024111,717
"2","{VER_PACK_TIER_NEW=3} => {cs_kor_ala=ADD_KOREAN}",0.0524593064401982,0.119943365695793,0.437367303609342,1.34108783958976,593
"4","{SPT_NEW=1} => {cs_kor_ala=ADD_KOREAN}",0.0587402689313517,0.110777444110777,0.530254777070064,1.23860358875196,664
"1","{} => {cs_kor_ala=ADD_KOREAN}",0.0894373673036093,0.0894373673036093,1,1,1011
